Title,Technology,Country,Type of Metadata,Status,Last Updated,href,url,lon,lat,tech
PLAT-I 4.63 Tidal Energy,"Marine Energy, Tidal",United States of America,Project Site,Project in progress,"September 7, 2020",/project-sites/plat-i-463-tidal-energy,https://tethys.pnnl.gov/project-sites/plat-i-463-tidal-energy,-66.339,44.269,"Marine Energy, Tidal"
PacWave South Test Site,"Marine Energy, Wave",United States of America,Project Site,Planned project,"July 24, 2020",/project-sites/pacwave-south-test-site,https://tethys.pnnl.gov/project-sites/pacwave-south-test-site,-124.22935,44.566394,"Marine Energy, Wave"
PacWave North Test Site,"Marine Energy, Wave",United States of America,Project Site,Project in progress,"July 24, 2020",/project-sites/pacwave-north-test-site,https://tethys.pnnl.gov/project-sites/pacwave-north-test-site,-124.13392,44.688391,"Marine Energy, Wave"
Roosevelt Island Tidal Energy (RITE) Project Pilot,"Marine Energy, Tidal",United States of America,Project Site,Project in progress,"October 7, 2019",/project-sites/roosevelt-island-tidal-energy-rite-project-pilot,https://tethys.pnnl.gov/project-sites/roosevelt-island-tidal-energy-rite-project-pilot,-73.94,40.77056,"Marine Energy, Tidal"
Western Passage Tidal Energy Project,"Marine Energy, Tidal",United States of America,Project Site,Planned project,"June 1, 2019",/project-sites/western-passage-tidal-energy-project,https://tethys.pnnl.gov/project-sites/western-passage-tidal-energy-project,-66.98717,44.92047,"Marine Energy, Tidal"
Cobscook Bay Tidal Energy Project,"Marine Energy, Tidal",United States of America,Project Site,Planned project,"May 31, 2019",/project-sites/cobscook-bay-tidal-energy-project,https://tethys.pnnl.gov/project-sites/cobscook-bay-tidal-energy-project,-67.04563,44.9098,"Marine Energy, Tidal"
Roosevelt Island Tidal Energy (RITE) Project Demonstration,"Marine Energy, Tidal",United States of America,Project Site,Device no longer in the water,"March 2, 2018",/project-sites/roosevelt-island-tidal-energy-rite-project-demonstration,https://tethys.pnnl.gov/project-sites/roosevelt-island-tidal-energy-rite-project-demonstration,-73.94,40.77056,"Marine Energy, Tidal"
Admiralty Inlet Pilot Tidal Project,"Marine Energy, Tidal",United States of America,Project Site,Device never deployed,"June 17, 2015",/project-sites/admiralty-inlet-pilot-tidal-project,https://tethys.pnnl.gov/project-sites/admiralty-inlet-pilot-tidal-project,-122.732,48.182972,"Marine Energy, Tidal"
Kaneohe Bay OPT Wave Project,"Marine Energy, Wave",United States of America,Project Site,Device no longer in the water,"August 16, 2013",/project-sites/kaneohe-bay-opt-wave-project,https://tethys.pnnl.gov/project-sites/kaneohe-bay-opt-wave-project,-157.754183,21.465886,"Marine Energy, Wave"
Mississippi River Projects,"Marine Energy, Riverine",United States of America,Project Site,Device no longer in the water,"August 12, 2013",/project-sites/mississippi-river-projects,https://tethys.pnnl.gov/project-sites/mississippi-river-projects,-91.20356,30.52028,"Marine Energy, Riverine"
Lock and Dam No. 2 Hydroelectric Project,"Marine Energy, Riverine",United States of America,Project Site,Device no longer in the water,"August 1, 2013",/project-sites/lock-dam-no-2-hydroelectric-project,https://tethys.pnnl.gov/project-sites/lock-dam-no-2-hydroelectric-project,-92.86726,44.75968,"Marine Energy, Riverine"
Wave Energy Technology - New Zealand Multi-Mode Wave Energy Converter Advancement Project (Oregon),"Marine Energy, Wave",United States of America,Project Site,Device no longer in the water,"May 22, 2013",/project-sites/wave-energy-technology-new-zealand-multi-mode-wave-energy-converter-advancement,https://tethys.pnnl.gov/project-sites/wave-energy-technology-new-zealand-multi-mode-wave-energy-converter-advancement,-124.134,44.69,"Marine Energy, Wave"
